areaName,date,newAdmissions
United Kingdom,2/2/2021,2460
United Kingdom,1/2/2021,2590
United Kingdom,31/1/2021,2379
United Kingdom,30/1/2021,2447
United Kingdom,29/1/2021,2664
United Kingdom,28/1/2021,3033
United Kingdom,27/1/2021,3046
United Kingdom,26/1/2021,3131
United Kingdom,25/1/2021,2922
United Kingdom,24/1/2021,3106
United Kingdom,23/1/2021,3101
United Kingdom,22/1/2021,3387
United Kingdom,21/1/2021,3622
United Kingdom,20/1/2021,4042
United Kingdom,19/1/2021,4156
United Kingdom,18/1/2021,4057
United Kingdom,17/1/2021,3745
United Kingdom,16/1/2021,3943
United Kingdom,15/1/2021,3672
United Kingdom,14/1/2021,4087
United Kingdom,13/1/2021,4222
United Kingdom,12/1/2021,4576
United Kingdom,11/1/2021,4307
United Kingdom,10/1/2021,3927
United Kingdom,9/1/2021,4123
United Kingdom,8/1/2021,3991
United Kingdom,7/1/2021,4288
United Kingdom,6/1/2021,4391
United Kingdom,5/1/2021,4114
United Kingdom,4/1/2021,3933
United Kingdom,3/1/2021,3648
United Kingdom,2/1/2021,3437
United Kingdom,1/1/2021,3370
United Kingdom,31/12/2020,2917
United Kingdom,30/12/2020,3280
United Kingdom,29/12/2020,3247
United Kingdom,28/12/2020,3126
United Kingdom,27/12/2020,2871
United Kingdom,26/12/2020,2527
United Kingdom,25/12/2020,2183
United Kingdom,24/12/2020,2083
United Kingdom,23/12/2020,2270
United Kingdom,22/12/2020,2475
United Kingdom,21/12/2020,2368
United Kingdom,20/12/2020,2167
United Kingdom,19/12/2020,2043
United Kingdom,18/12/2020,1919
United Kingdom,17/12/2020,2143
United Kingdom,16/12/2020,2077
United Kingdom,15/12/2020,1953
United Kingdom,14/12/2020,1952
United Kingdom,13/12/2020,1754
United Kingdom,12/12/2020,1798
United Kingdom,11/12/2020,1686
United Kingdom,10/12/2020,1752
United Kingdom,9/12/2020,1754
United Kingdom,8/12/2020,1782
United Kingdom,7/12/2020,1658
United Kingdom,6/12/2020,1467
United Kingdom,5/12/2020,1378
United Kingdom,4/12/2020,1434
United Kingdom,3/12/2020,1502
United Kingdom,2/12/2020,1487
United Kingdom,1/12/2020,1488
United Kingdom,30/11/2020,1404
United Kingdom,29/11/2020,1381
United Kingdom,28/11/2020,1219
United Kingdom,27/11/2020,1280
United Kingdom,26/11/2020,1421
United Kingdom,25/11/2020,1614
United Kingdom,24/11/2020,1494
United Kingdom,23/11/2020,1587
United Kingdom,22/11/2020,1488
United Kingdom,21/11/2020,1460
United Kingdom,20/11/2020,1545
United Kingdom,19/11/2020,1683
United Kingdom,18/11/2020,1782
United Kingdom,17/11/2020,1715
United Kingdom,16/11/2020,1770
United Kingdom,15/11/2020,1669
United Kingdom,14/11/2020,1612
United Kingdom,13/11/2020,1647
United Kingdom,12/11/2020,1912
United Kingdom,11/11/2020,1972
United Kingdom,10/11/2020,1847
United Kingdom,9/11/2020,1761
United Kingdom,8/11/2020,1685
United Kingdom,7/11/2020,1555
United Kingdom,6/11/2020,1413
United Kingdom,5/11/2020,1586
United Kingdom,4/11/2020,1677
United Kingdom,3/11/2020,1514
United Kingdom,2/11/2020,1567
United Kingdom,1/11/2020,1487
United Kingdom,31/10/2020,1459
United Kingdom,30/10/2020,1373
United Kingdom,29/10/2020,1584
United Kingdom,28/10/2020,1485
United Kingdom,27/10/2020,1488
United Kingdom,26/10/2020,1532
United Kingdom,25/10/2020,1418
United Kingdom,24/10/2020,1256
United Kingdom,23/10/2020,1289
United Kingdom,22/10/2020,1275
United Kingdom,21/10/2020,1259
United Kingdom,20/10/2020,1184
United Kingdom,19/10/2020,1092
United Kingdom,18/10/2020,1086
United Kingdom,17/10/2020,1024
United Kingdom,16/10/2020,910
United Kingdom,15/10/2020,1044
United Kingdom,14/10/2020,981
United Kingdom,13/10/2020,1020
United Kingdom,12/10/2020,883
United Kingdom,11/10/2020,823
United Kingdom,10/10/2020,720
United Kingdom,9/10/2020,703
United Kingdom,8/10/2020,710
United Kingdom,7/10/2020,683
United Kingdom,6/10/2020,722
United Kingdom,5/10/2020,625
United Kingdom,4/10/2020,629
United Kingdom,3/10/2020,532
United Kingdom,2/10/2020,528
United Kingdom,1/10/2020,523
United Kingdom,30/9/2020,451
United Kingdom,29/9/2020,440
United Kingdom,28/9/2020,444
United Kingdom,27/9/2020,340
United Kingdom,26/9/2020,351
United Kingdom,25/9/2020,384
United Kingdom,24/9/2020,422
United Kingdom,23/9/2020,421
United Kingdom,22/9/2020,350
United Kingdom,21/9/2020,369
United Kingdom,20/9/2020,289
United Kingdom,19/9/2020,260
United Kingdom,18/9/2020,263
United Kingdom,17/9/2020,264
United Kingdom,16/9/2020,285
United Kingdom,15/9/2020,270
United Kingdom,14/9/2020,255
United Kingdom,13/9/2020,224
United Kingdom,12/9/2020,216
United Kingdom,11/9/2020,231
United Kingdom,10/9/2020,217
United Kingdom,9/9/2020,201
United Kingdom,8/9/2020,184
United Kingdom,7/9/2020,142
United Kingdom,6/9/2020,138
United Kingdom,5/9/2020,130
United Kingdom,4/9/2020,153
United Kingdom,3/9/2020,145
United Kingdom,2/9/2020,144
United Kingdom,1/9/2020,134
United Kingdom,31/8/2020,91
United Kingdom,30/8/2020,77
United Kingdom,29/8/2020,110
United Kingdom,28/8/2020,137
United Kingdom,27/8/2020,151
United Kingdom,26/8/2020,132
United Kingdom,25/8/2020,122
United Kingdom,24/8/2020,91
United Kingdom,23/8/2020,74
United Kingdom,22/8/2020,72
United Kingdom,21/8/2020,109
United Kingdom,20/8/2020,98
United Kingdom,19/8/2020,114
United Kingdom,18/8/2020,130
United Kingdom,17/8/2020,96
United Kingdom,16/8/2020,80
United Kingdom,15/8/2020,99
United Kingdom,14/8/2020,102
United Kingdom,13/8/2020,130
United Kingdom,12/8/2020,101
United Kingdom,11/8/2020,114
United Kingdom,10/8/2020,86
United Kingdom,9/8/2020,106
United Kingdom,8/8/2020,141
United Kingdom,7/8/2020,117
United Kingdom,6/8/2020,100
United Kingdom,5/8/2020,140
United Kingdom,4/8/2020,126
United Kingdom,3/8/2020,110
United Kingdom,2/8/2020,93
United Kingdom,1/8/2020,128
United Kingdom,31/7/2020,113
United Kingdom,30/7/2020,132
United Kingdom,29/7/2020,132
United Kingdom,28/7/2020,119
United Kingdom,27/7/2020,130
United Kingdom,26/7/2020,110
United Kingdom,25/7/2020,120
United Kingdom,24/7/2020,157
United Kingdom,23/7/2020,200
United Kingdom,22/7/2020,158
United Kingdom,21/7/2020,126
United Kingdom,20/7/2020,130
United Kingdom,19/7/2020,126
United Kingdom,18/7/2020,105
United Kingdom,17/7/2020,144
United Kingdom,16/7/2020,167
United Kingdom,15/7/2020,166
United Kingdom,14/7/2020,185
United Kingdom,13/7/2020,189
United Kingdom,12/7/2020,114
United Kingdom,11/7/2020,177
United Kingdom,10/7/2020,176
United Kingdom,9/7/2020,213
United Kingdom,8/7/2020,208
United Kingdom,7/7/2020,214
United Kingdom,6/7/2020,204
United Kingdom,5/7/2020,196
United Kingdom,4/7/2020,202
United Kingdom,3/7/2020,214
United Kingdom,2/7/2020,217
United Kingdom,1/7/2020,270
United Kingdom,30/6/2020,295
United Kingdom,29/6/2020,220
United Kingdom,28/6/2020,208
United Kingdom,27/6/2020,287
United Kingdom,26/6/2020,339
United Kingdom,25/6/2020,324
United Kingdom,24/6/2020,369
United Kingdom,23/6/2020,362
United Kingdom,22/6/2020,395
United Kingdom,21/6/2020,288
United Kingdom,20/6/2020,257
United Kingdom,19/6/2020,336
United Kingdom,18/6/2020,403
United Kingdom,17/6/2020,432
United Kingdom,16/6/2020,455
United Kingdom,15/6/2020,440
United Kingdom,14/6/2020,364
United Kingdom,13/6/2020,385
United Kingdom,12/6/2020,392
United Kingdom,11/6/2020,446
United Kingdom,10/6/2020,512
United Kingdom,9/6/2020,492
United Kingdom,8/6/2020,412
United Kingdom,7/6/2020,407
United Kingdom,6/6/2020,406
United Kingdom,5/6/2020,475
United Kingdom,4/6/2020,565
United Kingdom,3/6/2020,634
United Kingdom,2/6/2020,668
United Kingdom,1/6/2020,605
United Kingdom,31/5/2020,528
United Kingdom,30/5/2020,568
United Kingdom,29/5/2020,615
United Kingdom,28/5/2020,702
United Kingdom,27/5/2020,712
United Kingdom,26/5/2020,697
United Kingdom,25/5/2020,602
United Kingdom,24/5/2020,587
United Kingdom,23/5/2020,643
United Kingdom,22/5/2020,739
United Kingdom,21/5/2020,842
United Kingdom,20/5/2020,850
United Kingdom,19/5/2020,880
United Kingdom,18/5/2020,848
United Kingdom,17/5/2020,792
United Kingdom,16/5/2020,813
United Kingdom,15/5/2020,869
United Kingdom,14/5/2020,909
United Kingdom,13/5/2020,966
United Kingdom,12/5/2020,983
United Kingdom,11/5/2020,1029
United Kingdom,10/5/2020,915
United Kingdom,9/5/2020,943
United Kingdom,8/5/2020,910
United Kingdom,7/5/2020,1165
United Kingdom,6/5/2020,1206
United Kingdom,5/5/2020,1146
United Kingdom,4/5/2020,1250
United Kingdom,3/5/2020,1188
United Kingdom,2/5/2020,1180
United Kingdom,1/5/2020,1263
United Kingdom,30/4/2020,1443
United Kingdom,29/4/2020,1489
United Kingdom,28/4/2020,1517
United Kingdom,27/4/2020,1537
United Kingdom,26/4/2020,1355
United Kingdom,25/4/2020,1255
United Kingdom,24/4/2020,1525
United Kingdom,23/4/2020,1513
United Kingdom,22/4/2020,1527
United Kingdom,21/4/2020,1713
United Kingdom,20/4/2020,1737
United Kingdom,19/4/2020,1657
United Kingdom,18/4/2020,1629
United Kingdom,17/4/2020,1966
United Kingdom,16/4/2020,2012
United Kingdom,15/4/2020,1880
United Kingdom,14/4/2020,2088
United Kingdom,13/4/2020,2160
United Kingdom,12/4/2020,2066
United Kingdom,11/4/2020,2162
United Kingdom,10/4/2020,2463
United Kingdom,9/4/2020,2629
United Kingdom,8/4/2020,2967
United Kingdom,7/4/2020,3150
United Kingdom,6/4/2020,3046
United Kingdom,5/4/2020,2916
United Kingdom,4/4/2020,2921
United Kingdom,3/4/2020,2930
United Kingdom,2/4/2020,3284
United Kingdom,1/4/2020,3565
United Kingdom,31/3/2020,2832
United Kingdom,30/3/2020,3190
United Kingdom,29/3/2020,2490
United Kingdom,28/3/2020,2191
United Kingdom,27/3/2020,2227
United Kingdom,26/3/2020,1929
United Kingdom,25/3/2020,2085
United Kingdom,24/3/2020,1720
United Kingdom,23/3/2020,1273