areaName,date,hospitalCases
United Kingdom,14/1/2021,37475
United Kingdom,13/1/2021,37336
United Kingdom,12/1/2021,36847
United Kingdom,11/1/2021,36630
United Kingdom,10/1/2021,35272
United Kingdom,9/1/2021,33929
United Kingdom,8/1/2021,33686
United Kingdom,7/1/2021,32495
United Kingdom,6/1/2021,31857
United Kingdom,5/1/2021,30599
United Kingdom,4/1/2021,30696
United Kingdom,3/1/2021,28953
United Kingdom,2/1/2021,27487
United Kingdom,1/1/2021,26317
United Kingdom,31/12/2020,26508
United Kingdom,30/12/2020,26485
United Kingdom,29/12/2020,25487
United Kingdom,28/12/2020,23990
United Kingdom,27/12/2020,22705
United Kingdom,26/12/2020,21674
United Kingdom,25/12/2020,20868
United Kingdom,24/12/2020,21527
United Kingdom,23/12/2020,21172
United Kingdom,22/12/2020,21439
United Kingdom,21/12/2020,21084
United Kingdom,20/12/2020,19957
United Kingdom,19/12/2020,19420
United Kingdom,18/12/2020,19072
United Kingdom,17/12/2020,18926
United Kingdom,16/12/2020,18630
United Kingdom,15/12/2020,18176
United Kingdom,14/12/2020,18210
United Kingdom,13/12/2020,17501
United Kingdom,12/12/2020,16871
United Kingdom,11/12/2020,16849
United Kingdom,10/12/2020,16690
United Kingdom,9/12/2020,16301
United Kingdom,8/12/2020,16448
United Kingdom,7/12/2020,16387
United Kingdom,6/12/2020,15936
United Kingdom,5/12/2020,15664
United Kingdom,4/12/2020,15703
United Kingdom,3/12/2020,15634
United Kingdom,2/12/2020,15952
United Kingdom,1/12/2020,16288
United Kingdom,30/11/2020,16541
United Kingdom,29/11/2020,16290
United Kingdom,28/11/2020,15965
United Kingdom,27/11/2020,16549
United Kingdom,26/11/2020,16742
United Kingdom,25/11/2020,17114
United Kingdom,24/11/2020,17405
United Kingdom,23/11/2020,17661
United Kingdom,22/11/2020,17246
United Kingdom,21/11/2020,17046
United Kingdom,20/11/2020,17167
United Kingdom,19/11/2020,17445
United Kingdom,18/11/2020,17472
United Kingdom,17/11/2020,17423
United Kingdom,16/11/2020,17299
United Kingdom,15/11/2020,16849
United Kingdom,14/11/2020,16285
United Kingdom,13/11/2020,16219
United Kingdom,12/11/2020,15863
United Kingdom,11/11/2020,15652
United Kingdom,10/11/2020,14951
United Kingdom,9/11/2020,15129
United Kingdom,8/11/2020,14536
United Kingdom,7/11/2020,14305
United Kingdom,6/11/2020,13948
United Kingdom,5/11/2020,13787
United Kingdom,4/11/2020,13809
United Kingdom,3/11/2020,13740
United Kingdom,2/11/2020,13096
United Kingdom,1/11/2020,12211
United Kingdom,31/10/2020,12297
United Kingdom,30/10/2020,11780
United Kingdom,29/10/2020,11575
United Kingdom,28/10/2020,11427
United Kingdom,27/10/2020,10930
United Kingdom,26/10/2020,10102
United Kingdom,25/10/2020,9780
United Kingdom,24/10/2020,9255
United Kingdom,23/10/2020,8882
United Kingdom,22/10/2020,8306
United Kingdom,21/10/2020,8128
United Kingdom,20/10/2020,7848
United Kingdom,19/10/2020,7329
United Kingdom,18/10/2020,6826
United Kingdom,17/10/2020,6542
United Kingdom,16/10/2020,6292
United Kingdom,15/10/2020,5929
United Kingdom,14/10/2020,5594
United Kingdom,13/10/2020,5290
United Kingdom,12/10/2020,4956
United Kingdom,11/10/2020,4665
United Kingdom,10/10/2020,4353
United Kingdom,9/10/2020,4166
United Kingdom,8/10/2020,4079
United Kingdom,7/10/2020,3888
United Kingdom,6/10/2020,3637
United Kingdom,5/10/2020,3365
United Kingdom,4/10/2020,3052
United Kingdom,3/10/2020,2863
United Kingdom,2/10/2020,2717
United Kingdom,1/10/2020,2587
United Kingdom,30/9/2020,2528
United Kingdom,29/9/2020,2418
United Kingdom,28/9/2020,2397
United Kingdom,27/9/2020,2186
United Kingdom,26/9/2020,2031
United Kingdom,25/9/2020,2018
United Kingdom,24/9/2020,1844
United Kingdom,23/9/2020,1728
United Kingdom,22/9/2020,1634
United Kingdom,21/9/2020,1555
United Kingdom,20/9/2020,1395
United Kingdom,19/9/2020,1297
United Kingdom,18/9/2020,1218
United Kingdom,17/9/2020,1160
United Kingdom,16/9/2020,1104
United Kingdom,15/9/2020,1064
United Kingdom,14/9/2020,979
United Kingdom,13/9/2020,840
United Kingdom,12/9/2020,810
United Kingdom,11/9/2020,768
United Kingdom,10/9/2020,942
United Kingdom,9/9/2020,922
United Kingdom,8/9/2020,893
United Kingdom,7/9/2020,901
United Kingdom,6/9/2020,817
United Kingdom,5/9/2020,811
United Kingdom,4/9/2020,817
United Kingdom,3/9/2020,816
United Kingdom,2/9/2020,802
United Kingdom,1/9/2020,860
United Kingdom,31/8/2020,852
United Kingdom,30/8/2020,829
United Kingdom,29/8/2020,831
United Kingdom,28/8/2020,816
United Kingdom,27/8/2020,838
United Kingdom,26/8/2020,827
United Kingdom,25/8/2020,842
United Kingdom,24/8/2020,874
United Kingdom,23/8/2020,868
United Kingdom,22/8/2020,941
United Kingdom,21/8/2020,887
United Kingdom,20/8/2020,908
United Kingdom,19/8/2020,923
United Kingdom,18/8/2020,951
United Kingdom,17/8/2020,980
United Kingdom,16/8/2020,977
United Kingdom,15/8/2020,972
United Kingdom,14/8/2020,993
United Kingdom,13/8/2020,1006
United Kingdom,12/8/2020,1002
United Kingdom,11/8/2020,1037
United Kingdom,10/8/2020,1085
United Kingdom,9/8/2020,981
United Kingdom,8/8/2020,1025
United Kingdom,7/8/2020,1092
United Kingdom,6/8/2020,1152
United Kingdom,5/8/2020,1197
United Kingdom,4/8/2020,1213
United Kingdom,3/8/2020,1248
United Kingdom,2/8/2020,1251
United Kingdom,1/8/2020,1287
United Kingdom,31/7/2020,1263
United Kingdom,30/7/2020,1312
United Kingdom,29/7/2020,1348
United Kingdom,28/7/2020,1367
United Kingdom,27/7/2020,1368
United Kingdom,26/7/2020,1381
United Kingdom,25/7/2020,1399
United Kingdom,24/7/2020,1452
United Kingdom,23/7/2020,1537
United Kingdom,22/7/2020,1746
United Kingdom,21/7/2020,1633
United Kingdom,20/7/2020,1733
United Kingdom,19/7/2020,1741
United Kingdom,18/7/2020,1775
United Kingdom,17/7/2020,1803
United Kingdom,16/7/2020,1828
United Kingdom,15/7/2020,1973
United Kingdom,14/7/2020,1992
United Kingdom,13/7/2020,2111
United Kingdom,12/7/2020,2099
United Kingdom,11/7/2020,2117
United Kingdom,10/7/2020,2242
United Kingdom,9/7/2020,2343
United Kingdom,8/7/2020,2453
United Kingdom,7/7/2020,2597
United Kingdom,6/7/2020,2698
United Kingdom,5/7/2020,2740
United Kingdom,4/7/2020,2800
United Kingdom,3/7/2020,2941
United Kingdom,2/7/2020,3078
United Kingdom,1/7/2020,3197
United Kingdom,30/6/2020,3382
United Kingdom,29/6/2020,3747
United Kingdom,28/6/2020,3556
United Kingdom,27/6/2020,3543
United Kingdom,26/6/2020,3619
United Kingdom,25/6/2020,3849
United Kingdom,24/6/2020,4029
United Kingdom,23/6/2020,4133
United Kingdom,22/6/2020,4280
United Kingdom,21/6/2020,4221
United Kingdom,20/6/2020,4251
United Kingdom,19/6/2020,4413
United Kingdom,18/6/2020,4559
United Kingdom,17/6/2020,4718
United Kingdom,16/6/2020,4862
United Kingdom,15/6/2020,4869
United Kingdom,14/6/2020,4907
United Kingdom,13/6/2020,4940
United Kingdom,12/6/2020,5088
United Kingdom,11/6/2020,5178
United Kingdom,10/6/2020,5469
United Kingdom,9/6/2020,5729
United Kingdom,8/6/2020,5924
United Kingdom,7/6/2020,5936
United Kingdom,6/6/2020,6141
United Kingdom,5/6/2020,6371
United Kingdom,4/6/2020,6571
United Kingdom,3/6/2020,6810
United Kingdom,2/6/2020,7082
United Kingdom,1/6/2020,7244
United Kingdom,31/5/2020,7234
United Kingdom,30/5/2020,7264
United Kingdom,29/5/2020,7583
United Kingdom,28/5/2020,7903
United Kingdom,27/5/2020,8215
United Kingdom,26/5/2020,8728
United Kingdom,25/5/2020,8833
United Kingdom,24/5/2020,8811
United Kingdom,23/5/2020,8811
United Kingdom,22/5/2020,9181
United Kingdom,21/5/2020,9289
United Kingdom,20/5/2020,9559
United Kingdom,19/5/2020,10009
United Kingdom,18/5/2020,10227
United Kingdom,17/5/2020,10194
United Kingdom,16/5/2020,10233
United Kingdom,15/5/2020,10686
United Kingdom,14/5/2020,10916
United Kingdom,13/5/2020,11338
United Kingdom,12/5/2020,11587
United Kingdom,11/5/2020,11963
United Kingdom,10/5/2020,11723
United Kingdom,9/5/2020,12017
United Kingdom,8/5/2020,12049
United Kingdom,7/5/2020,12622
United Kingdom,6/5/2020,13143
United Kingdom,5/5/2020,13718
United Kingdom,4/5/2020,14092
United Kingdom,3/5/2020,14184
United Kingdom,2/5/2020,14376
United Kingdom,1/5/2020,14719
United Kingdom,30/4/2020,15160
United Kingdom,29/4/2020,15517
United Kingdom,28/4/2020,15873
United Kingdom,27/4/2020,16658
United Kingdom,26/4/2020,16552
United Kingdom,25/4/2020,16601
United Kingdom,24/4/2020,17060
United Kingdom,23/4/2020,17864
United Kingdom,22/4/2020,18530
United Kingdom,21/4/2020,19136
United Kingdom,20/4/2020,19327
United Kingdom,19/4/2020,19570
United Kingdom,18/4/2020,19453
United Kingdom,17/4/2020,19326
United Kingdom,16/4/2020,20385
United Kingdom,15/4/2020,20578
United Kingdom,14/4/2020,21277
United Kingdom,13/4/2020,21304
United Kingdom,12/4/2020,21684
United Kingdom,11/4/2020,21251
United Kingdom,10/4/2020,21277
United Kingdom,9/4/2020,21002
United Kingdom,8/4/2020,20737
United Kingdom,7/4/2020,20231
United Kingdom,6/4/2020,19490
United Kingdom,5/4/2020,18852
United Kingdom,4/4/2020,17500
United Kingdom,3/4/2020,15545
United Kingdom,2/4/2020,13873
United Kingdom,1/4/2020,13635
United Kingdom,31/3/2020,12595
United Kingdom,30/3/2020,11090
United Kingdom,29/3/2020,9522
United Kingdom,28/3/2020,8275
United Kingdom,27/3/2020,7264