areaName,date,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
United Kingdom,16/4/2021,119306,485421,32693527,9416968
United Kingdom,15/4/2021,129782,417683,32574221,8931547
United Kingdom,14/4/2021,117835,343783,32444439,8513864
United Kingdom,13/4/2021,76123,312685,32326604,8170081
United Kingdom,12/4/2021,59905,201191,32250481,7857396
United Kingdom,11/4/2021,69223,189665,32190576,7656205
United Kingdom,10/4/2021,111109,475230,32121353,7466540
United Kingdom,9/4/2021,106878,450136,32010244,6991310
United Kingdom,8/4/2021,96242,449269,31903366,6541174
United Kingdom,7/4/2021,99530,408396,31807124,6091905
United Kingdom,6/4/2021,85227,186793,31707594,5683509
United Kingdom,5/4/2021,40744,64590,31622367,5496716
United Kingdom,4/4/2021,48055,47708,31581623,5432126
United Kingdom,3/4/2021,107886,178913,31533568,5384418
United Kingdom,2/4/2021,107420,246631,31425682,5205505
United Kingdom,1/4/2021,170818,445416,31318262,4958874
United Kingdom,31/3/2021,239434,387574,31147444,4513458
United Kingdom,30/3/2021,225917,277682,30908010,4125884
United Kingdom,29/3/2021,236809,168230,30682093,3848202
United Kingdom,28/3/2021,293548,147594,30445284,3679972
United Kingdom,27/3/2021,424301,238861,30151736,3532378
United Kingdom,26/3/2021,411305,283654,29727435,3293517
United Kingdom,25/3/2021,324942,234382,29316130,3009863
United Kingdom,24/3/2021,337665,242642,28991188,2775481
United Kingdom,23/3/2021,325650,169155,28653523,2532839
United Kingdom,22/3/2021,329897,82300,28327873,2363684
United Kingdom,21/3/2021,367006,52612,27997976,2281384
United Kingdom,20/3/2021,752308,91977,27630970,2228772
United Kingdom,19/3/2021,614930,125725,26878662,2136795
United Kingdom,18/3/2021,528260,132016,26263732,2011070
United Kingdom,17/3/2021,462246,119609,25735472,1879054
United Kingdom,16/3/2021,433320,95799,25273226,1759445
United Kingdom,15/3/2021,386685,53366,24839906,1663646
United Kingdom,14/3/2021,257010,25371,24453221,1610280
United Kingdom,13/3/2021,512108,52155,24196211,1584909
United Kingdom,12/3/2021,369578,87676,23684103,1532754
United Kingdom,11/3/2021,260809,93563,23314525,1445078
United Kingdom,10/3/2021,243887,97162,23053716,1351515
United Kingdom,9/3/2021,217301,72922,22809829,1254353
United Kingdom,8/3/2021,215273,38788,22592528,1181431
United Kingdom,7/3/2021,164143,20241,22377255,1142643
United Kingdom,6/3/2021,416834,31562,22213112,1122402
United Kingdom,5/3/2021,437463,56772,21796278,1090840
United Kingdom,4/3/2021,376244,70206,21358815,1034068
United Kingdom,3/3/2021,278956,68450,20982571,963862
United Kingdom,2/3/2021,224996,51314,20703615,895412
United Kingdom,1/3/2021,203168,28282,20478619,844098
United Kingdom,28/2/2021,185900,19684,20275451,815816
United Kingdom,27/2/2021,407503,27322,20089551,796132
United Kingdom,26/2/2021,504493,32773,19682048,768810
United Kingdom,25/2/2021,485720,35319,19177555,736037
United Kingdom,24/2/2021,448962,31613,18691835,700718
United Kingdom,23/2/2021,326692,26317,18242873,669105
United Kingdom,22/2/2021,192341,18463,17916181,642788
United Kingdom,21/2/2021,141719,9177,17723840,624325
United Kingdom,20/2/2021,334679,10263,17582121,615148
United Kingdom,19/2/2021,371906,15294,17247442,604885
United Kingdom,18/2/2021,452454,15867,16875536,589591
United Kingdom,17/2/2021,482110,15147,16423082,573724
United Kingdom,16/2/2021,364865,12412,15940972,558577
United Kingdom,15/2/2021,275956,6535,15576107,546165
United Kingdom,14/2/2021,237962,1915,15300151,539630
United Kingdom,13/2/2021,505362,2846,15062189,537715
United Kingdom,12/2/2021,544603,4775,14556827,534869
United Kingdom,11/2/2021,503116,5647,14012224,530094
United Kingdom,10/2/2021,450810,4894,13509108,524447
United Kingdom,9/2/2021,411812,3161,13058298,519553
United Kingdom,8/2/2021,352480,3811,12646486,516392
United Kingdom,7/2/2021,278988,862,12294006,512581
United Kingdom,6/2/2021,549808,1662,12015018,511719
United Kingdom,5/2/2021,494163,4064,11465210,510057
United Kingdom,4/2/2021,480560,4036,10971047,505993
United Kingdom,3/2/2021,469016,2995,10490487,501957
United Kingdom,2/2/2021,374756,2166,10021471,498962
United Kingdom,1/2/2021,350348,2587,9646715,496796
United Kingdom,31/1/2021,319038,3156,9296367,494209
United Kingdom,30/1/2021,598389,10621,8977329,491053
United Kingdom,29/1/2021,487756,2178,8378940,480432
United Kingdom,28/1/2021,414419,1769,7891184,478254
United Kingdom,27/1/2021,312378,2329,7476765,476485
United Kingdom,26/1/2021,311060,1710,7164387,474156
United Kingdom,25/1/2021,279757,1968,6853327,472446
United Kingdom,24/1/2021,220249,818,6573570,470478
United Kingdom,23/1/2021,491970,1043,6353321,469660
United Kingdom,22/1/2021,478248,1821,5861351,468617
United Kingdom,21/1/2021,409855,2760,5383103,466796
United Kingdom,20/1/2021,363508,3411,4973248,464036
United Kingdom,19/1/2021,343163,3759,4609740,460625
United Kingdom,18/1/2021,204076,4565,4266577,456866
United Kingdom,17/1/2021,190107,2239,4062501,452301
United Kingdom,16/1/2021,296131,2620,3872394,450062
United Kingdom,15/1/2021,341317,4208,3576263,447442
United Kingdom,14/1/2021,316694,5257,3234946,443234
United Kingdom,13/1/2021,278943,9745,2918252,437977
United Kingdom,12/1/2021,207661,16065,2639309,428232
United Kingdom,11/1/2021,145076,20768,2431648,412167
United Kingdom,10/1/2021,,,2286572,391399